Clients,Throughput(req/s),AvgRespTime(ms),CacheHitRate(%),ServerCPU(%),MaxDiskIO(%)
1,35.97,27.792,GETs):,19.08,31.73
3,70.57,42.501,GETs):,58.18,54.60
5,58.45,85.532,GETs):,92.52,43.29
7,56.56,123.730,GETs):,97.74,41.00
9,56.62,158.925,GETs):,98.63,41.24
11,56.57,194.410,GETs):,98.77,40.87
13,56.70,229.217,GETs):,98.87,41.19
15,56.43,265.760,GETs):,98.94,41.01
17,56.53,300.621,GETs):,98.95,40.46
20,56.51,353.728,GETs):,98.99,40.61
