Clients,Throughput(req/s),AvgRespTime(ms),CacheHitRate(%),ServerCPU(%),MaxDiskIO(%)
1,1733.10,0.572,GETs):,14.72,1.27
3,4457.80,0.668,GETs):,34.17,0.92
5,5378.28,0.924,GETs):,43.86,1.10
7,5668.57,1.229,GETs):,48.11,0.93
9,5712.23,1.570,GETs):,48.91,0.86
11,5699.63,1.924,GETs):,48.66,0.99
13,5616.71,2.279,GETs):,49.02,0.92
15,5684.65,2.632,GETs):,49.10,0.98
17,5669.75,2.992,GETs):,49.13,1.04
20,5617.30,3.554,GETs):,49.45,1.07
