Clients,Throughput(req/s),AvgRespTime(ms),CacheHitRate(%),ServerCPU(%),MaxDiskIO(%)
1,144.25,9.500,GETs):,11.68,81.18
3,307.05,9.760,GETs):,7.80,83.25
5,507.29,9.845,GETs):,10.75,87.43
7,684.45,10.216,GETs):,12.53,89.36
9,807.73,11.130,GETs):,13.46,90.00
11,800.24,13.733,GETs):,12.41,90.90
13,806.59,16.105,GETs):,12.64,90.79
15,806.00,18.598,GETs):,12.94,90.95
17,802.73,21.165,GETs):,12.23,90.98
20,805.73,24.809,GETs):,12.84,91.02
,,,,,
,,,,,

